Populacao,Geracoes,Taxa Mutacao,Custo
50,500,0.05,0.2777995836
50,500,0.1,0.2860602386
50,500,0.15,0.2995141239
50,500,0.2,0.2485453677
50,1000,0.05,0.2519558848
50,1000,0.1,0.276057067
50,1000,0.15,0.2188936452
50,1000,0.2,0.2335039883
50,1500,0.05,0.2231803826
50,1500,0.1,0.1978069806
50,1500,0.15,0.2347356877
50,1500,0.2,0.2611595379
50,2000,0.05,0.1987265671
50,2000,0.1,0.2497903355
50,2000,0.15,0.2486804015
50,2000,0.2,0.2309756616
100,500,0.05,0.1982788315
100,500,0.1,0.276646218
100,500,0.15,0.2025118797
100,500,0.2,0.2188980397
100,1000,0.05,0.1342685054
100,1000,0.1,0.2488270308
100,1000,0.15,0.2330726799
100,1000,0.2,0.2260709333
100,1500,0.05,0.2038909511
100,1500,0.1,0.2112681843
100,1500,0.15,0.2179155454
100,1500,0.2,0.1838715145
100,2000,0.05,0.157372177
100,2000,0.1,0.2277869002
100,2000,0.15,0.1554647302
100,2000,0.2,0.1947225089
150,500,0.05,0.2304157839
150,500,0.1,0.1987095547
150,500,0.15,0.2213614827
150,500,0.2,0.2066413119
150,1000,0.05,0.1985016967
150,1000,0.1,0.2174519441
150,1000,0.15,0.1937926422
150,1000,0.2,0.2188155478
150,1500,0.05,0.2152498426
150,1500,0.1,0.189717766
150,1500,0.15,0.2056156262
150,1500,0.2,0.1879863056
150,2000,0.05,0.1424561514
150,2000,0.1,0.1572758248
150,2000,0.15,0.1808950033
150,2000,0.2,0.2054393806
200,500,0.05,0.2001821571
200,500,0.1,0.2138946343
200,500,0.15,0.2443245161
200,500,0.2,0.1878306878
200,1000,0.05,0.1538047413
200,1000,0.1,0.2095850922
200,1000,0.15,0.235952931
200,1000,0.2,0.1864305896
200,1500,0.05,0.1675256393
200,1500,0.1,0.184544074
200,1500,0.15,0.128706134
200,1500,0.2,0.1495614923
200,2000,0.05,0.1774151092
200,2000,0.1,0.177517841
200,2000,0.15,0.1394987871
200,2000,0.2,0.1772169471
