Temperatura Inicial,Temperatura Final,Alfa,Custo
500,0.1,0.95,0.2616043277
500,0.1,0.98,0.2006363211
500,0.1,0.995,0.06280020168
500,0.1,0.999,0.01085271318
500,0.05,0.95,0.08598779403
500,0.05,0.98,0.1848938972
500,0.05,0.995,0.04715634354
500,0.05,0.999,0.01864801865
500,0.01,0.95,0.2195923807
500,0.01,0.98,0.2391299168
500,0.01,0.995,0.1915659456
500,0.01,0.999,0.003663003663
500,0.005,0.95,0.0509146835
500,0.005,0.98,0.2044590691
500,0.005,0.995,0.08144822033
500,0.005,0.999,0.01451571684
1000,0.1,0.95,0.09250752416
1000,0.1,0.98,0.218724971
1000,0.1,0.995,0.03099369766
1000,0.1,0.999,0.01600868268
1000,0.05,0.95,0.04617280148
1000,0.05,0.98,0.05441687642
1000,0.05,0.995,0.07903898919
1000,0.05,0.999,0.02728463806
1000,0.01,0.95,0.2085461355
1000,0.01,0.98,0.1168863153
1000,0.01,0.995,0.184465784
1000,0.01,0.999,0
1000,0.005,0.95,0.07982651755
1000,0.005,0.98,0.003663003663
1000,0.005,0.995,0.1363160649
1000,0.005,0.999,0.003663003663
1500,0.1,0.95,0.2207573088
1500,0.1,0.98,0.08831027585
1500,0.1,0.995,0.02747252747
1500,0.1,0.999,0.03703703704
1500,0.05,0.95,0.114316209
1500,0.05,0.98,0.1149877134
1500,0.05,0.995,0.1675864511
1500,0.05,0.999,0.01085271318
1500,0.01,0.95,0.2265569992
1500,0.01,0.98,0.1890652791
1500,0.01,0.995,0.02567558228
1500,0.01,0.999,0.01085271318
1500,0.005,0.95,0.200434386
1500,0.005,0.98,0.1278350678
1500,0.005,0.995,0.04013199246
1500,0.005,0.999,0
2000,0.1,0.95,0.2197441534
2000,0.1,0.98,0.1400732975
2000,0.1,0.995,0.04329597343
2000,0.1,0.999,0.01085271318
2000,0.05,0.95,0.1203675927
2000,0.05,0.98,0.1823210202
2000,0.05,0.995,0.01864801865
2000,0.05,0.999,0
2000,0.01,0.95,0.2361859502
2000,0.01,0.98,0.04572417202
2000,0.01,0.995,0.1497093868
2000,0.01,0.999,0
2000,0.005,0.95,0.1971563435
2000,0.005,0.98,0.160774898
2000,0.005,0.995,0.03276736139
2000,0.005,0.999,0.003663003663
